id	enttype	heading	synonyms
MESH:D053769	DosageForm	Nanocapsules	Nano-capsules;Nano-capsule;Nano capsules;Nano capsule
MESH:D058726	DosageForm	Nanoconjugates	Nano conjugates;Nano conjugate;Nano-conjugates;Nano-conjugate;nanoparticle conjugate;nano particle conjugate;nano-particle conjugate
MESH:D058612	DosageForm	Nanodiamonds	Nano diamonds;Nano diamond;Nano-diamonds;Nano-diamond
MESH:D000080385	DosageForm	Nanogels	Nano gels;Nano composite Gels;Gel, Nano composite;Nano composite Gel;Nano composite Hydrogels;Hydrogel, Nano composite;Nano composite Hydrogel;Nano-gels;Nano-composite Gels;Gel, Nano-composite;Nano-composite Gel;Nano-composite Hydrogels;Hydrogel, Nano-composite;Nano-composite Hydrogel
MESH:D053758	DosageForm	Nanoparticles	nanoparticular;Nano particles;Nano particle;Nano crystalline Materials;Material, Nano crystalline;Materials, Nano crystalline;Nano crystalline Material;Nano crystals;Nano crystal;Nano-particles;Nano-particle;Nano-crystalline Materials;Material, Nano-crystalline;Materials, Nano-crystalline;Nano-crystalline Material;Nano-crystals;Nano-crystal
MESH:D057145	DosageForm	Nanoshells	Nano shells;Nano shell;Metal Nano shells;Metal Nano shell;Nano shell, Metal;Nano shells, Metal;Nano-shells;Nano-shell;Metal Nano-shells;Metal Nano-shell;Nano-shell, Metal;Nano-shells, Metal
MESH:D054118	DosageForm	Nanospheres	nanospherical;Nano spheres;Nano sphere;Nano-spheres;Nano-sphere
MESH:D043942	DosageForm	Nanotubes	Nano tubes;Nano tube;Nano rods;Nano rod;Nano-tubes;Nano-tube;Nano-rods;Nano-rod
MESH:D037742	DosageForm	Nanotubes, Carbon	Nano tubes, Carbon;Carbon Nano tube;Nano tube, Carbon;Carbon Nano tubes;Buckytubes;Buckytube;Nano ribbons;Nano ribbon;Nano-tubes, Carbon;Carbon Nano-tube;Nano-tube, Carbon;Carbon Nano-tubes;Buckytubes;Buckytube;Nano-ribbons;Nano-ribbon
MESH:D045333	DosageForm	Nanotubes, Peptide	Nano tubes, Peptide;Nano tube, Peptide;Peptide Nano tube;Peptide Nano tubes;Nano-tubes, Peptide;Nano-tube, Peptide;Peptide Nano-tube;Peptide Nano-tubes
MESH:D053770	DosageForm	Nanowires	Nano wires;Nano wire;Nano-wires;Nano-wire
MESH:D059085	DosageForm	Nasal Sprays	Nose Spray
MESH:D009824	DosageForm	Ointments	nasal ointment
MESH:D058993	DosageForm	Oral Sprays	mouth spray
MESH:D014677	DosageForm	Pharmaceutical Vehicles	drug vehicle;vehicle of drug action;vehicle of drug substance;Excipients;Suspending Agents;Agents, Suspending;Stabilizing Agents;Agents, Stabilizing;carrier substance;carrier material
MESH:D011208	DosageForm	Powders	multi-dose powder;single dose powder;nasal powder
MESH:D045663	DosageForm	Quantum Dots	Semiconductor Nano particles;Nano particle, Semiconductor;Nano particles, Semiconductor;Semiconductor Nano particle;Semiconductor Nano crystals;Nano crystal, Semiconductor;Semiconductor Nano crystal;Nano crystals, Semiconductor;Fluorescence nano crystals;Semiconductor Nano-particles;Nano-particle, Semiconductor;Nano-particles, Semiconductor;Semiconductor Nano-particle;Semiconductor Nano-crystals;Nano-crystal, Semiconductor;Semiconductor Nano-crystal;Nano-crystals, Semiconductor;Fluorescence nano-crystals
MESH:D058428	DosageForm	Silica Gel	silicic acid gel
MESH:D013488	DosageForm	Suppositories	Suppository, Ovula;Ovules;insert;pessary;pessaries;vaginal inserts;vaginal Suppositories;vaginal Suppository;vaginal pessaries;vaginal pessary;bougies;inserts;vaginal tablet;vaginal pill
MESH:D013535	DosageForm	Suspensions
MESH:D013607	DosageForm	Tablets	Tablet core;tablet cores;pastilles;molded tablet;tablet triturates
MESH:D013608	DosageForm	Tablets, Enteric-Coated	enteric tablet;Gastro-resistant tablet;Gastro resistant tablet
MESH:D014622	DosageForm	Vaginal Creams, Foams, and Jellies
MESH:D022701	DosageForm	Virosomes
