id	enttype	heading	synonyms
MESH:D017778	Vaccine	combined vaccine	Vaccines, Combined;combined vaccines;multivalent vaccine;polyvalent vaccine;combination vaccine
MESH:D018074	Vaccine	conjugate vaccine	conjugate vaccines
MESH:D022642	Vaccine	contraceptive vaccines	Vaccines, Contraceptive;contraceptive vaccine
Q38931105	Vaccine	dendritic cell-based cancer vaccines	dendritic cell-based cancer vaccine;DCs-based cancer vaccine;DC-based cancer vaccine
MESH:D053059	Vaccine	dengue vaccine	dengue vaccines
MESH:D004168	Vaccine	diphtheria vaccine	diphtheria toxoid
MESH:D022681	Vaccine	diphtheria–tetanus–acellular pertussis vaccine	Diphtheria-Tetanus-acellular Pertussis vaccine;DTaP vaccine;DTaP/Tdap
Q120799016	Vaccine	falimarev	recombinant fowlpox-CEA-MUC-1-TRICOM vaccine
MESH:D005657	Vaccine	fungal vaccines	fungal vaccine
MESH:D022362	Vaccine	hepatitis A vaccine	hepatitis A vaccines
MESH:D006514	Vaccine	hepatitis b virus hbsag surface protein antigen	hepatitis b surface antigens;hepatitis-b surface antigen;hepatitis b surface antigen;hepatitis b antigen;hepatitis b surface antigen vaccine;hepatitis b surface antigen (rdna);hbsag
MESH:D053061	Vaccine	herpes zoster vaccine	zoster vaccine;shingles vaccine
MESH:D011054	Vaccine	inactivated poliovirus vaccine	Poliovirus Vaccine, Inactivated;inactivated poliovirus vaccine (IPV);Salk poliomyelitis vaccine;Salk Vaccine
MESH:D015164	Vaccine	inactivated vaccine	killed vaccine;Vaccines, Inactivated
MESH:D007252	Vaccine	influenza vaccine	influenza vaccines;flu shot;flu jab
Q123677462	Vaccine	inverse vaccine	reverse vaccine
Q2043512	Vaccine	live attenuated influenza vaccine	live attenuated flu vaccine
MESH:D000090983	Vaccine	mRNA-1273 vaccine	CX-024414;Moderna/ NIAID/ Lonza/ Catalent/ Rovi Vaccine;Moderna vaccine;Moderna COVID-19 vaccine;Moderna COVID vaccine;elasomeran;Spikevax
Q124610363	Vaccine	mRNA-1647 vaccine	mRNA-based CMV vaccine mRNA-1647
MESH:D017780	Vaccine	malaria vaccine	malaria vaccines
MESH:D022581	Vaccine	marker vaccine	Vaccines, Marker;SIVA vaccine;DIVA vaccine
MESH:D008458	Vaccine	measles vaccine	measles vaccines
MESH:D022401	Vaccine	meningococcal vaccine	meningococcal vaccines
Q6889412	Vaccine	modified vaccinia Ankara	MVA
Q113064436	Vaccine	monkeypox vaccine	monkeypox vaccines
MESH:D009108	Vaccine	mumps vaccine	mumps vaccines
MESH:D000097007	Vaccine	nanovaccine	nanovaccines
MESH:D000087504	Vaccine	nucleic acid-based vaccine	nucleic acid-based vaccine
Q7092116	Vaccine	oncophage	Vitespen;HSPPC-96;cancer vaccine HSPPC-96;cancer vaccine heat shock protein peptide complex-96
MESH:D022241	Vaccine	parainfluenza vaccines	parainfluenza vaccine
Q18387529	Vaccine	pentavalent vaccine	5-in-1 vaccine
MESH:D010567	Vaccine	pertussis vaccine	whooping cough vaccine;whooping-cough vaccine;Wikipedia:WikiProject Medicine/Translation task force/RTT/Simple Pertussis vaccine
Q7205991	Vaccine	pneumococcal conjugate vaccine	Synflorix;Prevnar;PCV
Q2100023	Vaccine	pneumococcal polysaccharide vaccine	PPV-23;PPSV;Pneumovax 23
MESH:D022242	Vaccine	pneumococcal vaccine	pneumococcal vaccines
MESH:D023321	Vaccine	polio vaccine	poliovirus vaccines;poliovirus vaccine;poliomyelitis vaccine;polio vaccines;live poliovirus vaccine
MESH:D000096202	Vaccine	protein subunit vaccine	Protein subunit vaccine
MESH:D016052	Vaccine	protozoan vaccines	protozoan vaccine;antiprotozoal vaccine
MESH:D022421	Vaccine	pseudorabies vaccines	pseudorabies vaccine
MESH:D011819	Vaccine	rabies vaccine	HDCV;rabies vaccines;rabies virus vaccines;rabies virus vaccine
Q96401585	Vaccine	respiratory syncytial virus vaccine	RSV vaccine
MESH:D022261	Vaccine	respiratory syncytial virus vaccines	respiratory syncytial virus vaccine
MESH:D012290	Vaccine	rickettsial vaccine	Rickettsial vaccine
Q25104603	Vaccine	rindopepimut	CDX-110
MESH:D022243	Vaccine	rotavirus vaccine	rotavirus vaccines
MESH:D012411	Vaccine	rubella vaccine	rubella virus vaccine;Simple Rubella vaccine
MESH:D022562	Vaccine	salmonella vaccines	salmonella vaccine
Q106660164	Vaccine	seviprotimut-L	POL-103A;human polyvalent shedded antigen vaccine
MESH:D013209	Vaccine	staphylococcal vaccine	staphylococcus vaccines;staphylococcal vaccines;staphylococcus vaccine
MESH:D022541	Vaccine	streptococcal vaccines	streptococcal vaccine
MESH:D022223	Vaccine	subunit vaccine	Vaccines, Subunit;subunit vaccine;Subunit vaccine
MESH:D014614	Vaccine	synthetic vaccine	synthetic vaccines;Vaccines, Synthetic
MESH:D013745	Vaccine	tetanus vaccine	tetanus toxoid;Tetanus Toxoid;TT
MESH:D014121	Vaccine	toxoid	toxoids;Anatoxin
MESH:D032581	Vaccine	tuberculosis vaccines	Tuberculosis
Q7852675	Vaccine	tumor antigen vaccine	tumour antigen vaccine
MESH:D014436	Vaccine	typhoid-paratyphoid vaccines	Typhoid-Paratyphoid vaccine
Q7861366	Vaccine	typhus vaccine	Behring vaccine;Marburg vaccine
Q25326661	Vaccine	universal flu vaccine	flu vaccination
Q28051899	Vaccine	vaccine candidate	test vaccine
MESH:D019433	Vaccine	varicella vaccine	chickenpox vaccine
Q28859741	Vaccine	varicella-zoster virus strain oka/merck live antigen	zoster vaccine live (oka/merck);varicella-zoster virus strain oka/merck live (attenuated) antigen;varicella-zoster virus (live, attenuated);varicella zoster live(attenuated) antigen;varicella zoster live (attenuated) antigen;varicella virus vaccine live (oka-merck) strain;human herpesvirus 3 live (attenuated) antigen
MESH:D014761	Vaccine	viral hepatitis vaccines	viral hepatitis vaccine
MESH:D014765	Vaccine	viral vaccines	viral vaccine
Q106336308	Vaccine	viral vector vaccine	vector vaccine
MESH:D022721	Vaccine	virosome vaccines	Virosome vaccine
Q1475781	Vaccine	virus-like particle	VLP
MESH:D058425	Vaccine	virus-like particle vaccine	virus-like particle vaccines;VLP vaccine;Vaccines, Virus-Like Particle
Q97154239	Vaccine	zorecimeran	CVnCoV;CV07050101;CureVac vaccine;CureVac COVID-19 vaccine candidate
